bug_id,au_result,my_result
Jsoup-84,test failed,test failed
Time-27,test failed,test failed
Lang-18,test passed,test passed
Closure-15,test failed,test failed
JacksonDatabind-5,compile error,test failed
Lang-9,test failed,test failed
Lang-42,test failed,test failed
Compress-40,test failed,test failed
Math-103,test failed,test failed
Lang-37,test failed,test failed
Jsoup-2,test failed,test failed
Math-33,test failed,test failed
Compress-17,test failed,test failed
Gson-17,test passed,test passed
Time-5,test failed,compile error
Compress-35,test failed,test failed
Closure-102,test passed,test passed
Closure-117,compile error,compile error
Math-60,test passed,test passed
Compress-32,test passed,test passed
Jsoup-77,test passed,test passed
Closure-61,test failed,test failed
Chart-9,test passed,test passed
Closure-42,test failed,test failed
Math-51,test failed,test failed
Jsoup-93,test failed,test failed
Mockito-24,test failed,test passed
Math-26,test failed,test failed
Closure-36,test failed,test failed
Compress-11,test failed,test failed
Compress-30,test passed,test passed
Jsoup-59,test failed,test passed
Math-7,test failed,test failed
Closure-125,test passed,test passed
JacksonDatabind-46,test passed,test failed
Cli-20,test failed,test failed
Math-58,test passed,test passed
Cli-26,test failed,test failed
Closure-19,test failed,test failed
Math-88,test failed,test failed
Closure-71,test failed,test failed
JacksonDatabind-74,test failed,test failed
Time-24,test failed,test failed
Time-7,test passed,test failed
Compress-25,test passed,test failed
Compress-45,test passed,test passed
JacksonDatabind-91,test failed,test failed
Closure-13,test passed,test passed
Closure-24,test failed,test failed
Math-10,test failed,test failed
Codec-9,test passed,test passed
Closure-107,test failed,test failed
Chart-24,compile error,test passed
Math-53,test passed,test failed
Compress-13,test failed,test failed
Closure-120,test failed,compile error
JacksonCore-23,test failed,test failed
Math-28,test passed,test passed
Math-42,test failed,test failed
Time-18,test failed,test failed
Closure-67,test failed,test failed
JacksonDatabind-107,test failed,test failed
Cli-11,test passed,test passed
Mockito-33,test failed,test failed
Lang-22,test passed,test passed
Codec-10,test failed,test passed
Jsoup-68,test passed,test passed
JacksonDatabind-44,test failed,test failed
JxPath-21,test failed,test failed
Math-21,compile error,compile error
Math-106,test failed,test failed
Jsoup-53,test failed,test failed
Chart-13,test passed,test passed
Compress-23,test passed,test passed
Closure-161,test failed,test failed
Closure-145,test failed,test failed
Cli-24,test failed,test failed
Gson-5,test failed,test passed
Closure-1,test failed,test failed
Compress-36,test failed,test failed
Jsoup-40,test passed,test passed
Math-82,test passed,test passed
Closure-78,test failed,test failed
Compress-41,test failed,test failed
Jsoup-85,test passed,test failed
