bug_id,final_outcome,tp_cnt,tf_cnt,cf_cnt
Gson-17,test passed,1,9,0
Closure-82,test failed,0,9,1
Closure-48,test failed,0,9,1
Compress-32,test passed,1,9,0
Jsoup-47,test passed,1,8,1
Math-97,test failed,0,10,0
JacksonDatabind-54,test passed,2,8,0
Math-10,test failed,0,9,1
Jsoup-41,test passed,5,2,3
Closure-109,test passed,1,2,7
Cli-17,test passed,6,4,0
JacksonDatabind-102,test passed,1,5,4
JacksonCore-8,test passed,2,6,2
Closure-32,compile error,0,0,10
Jsoup-61,test passed,1,4,5
Closure-33,test failed,0,9,1
Closure-70,test passed,5,1,4
Math-86,test passed,2,6,2
Closure-159,test passed,1,8,1
Closure-83,test failed,0,2,8
Closure-120,test failed,0,9,1
Compress-7,test passed,3,7,0
Cli-4,test failed,0,10,0
Closure-1,test failed,0,10,0
JacksonDatabind-51,test failed,0,5,5
Compress-37,test failed,0,10,0
Jsoup-42,test failed,0,9,1
Time-16,test failed,0,4,6
Jsoup-62,test passed,1,3,6
Closure-170,test failed,0,9,1
Time-20,test failed,0,6,4
Math-28,test passed,3,3,4
Jsoup-68,test passed,4,5,1
JacksonDatabind-37,test passed,1,2,7
JacksonDatabind-107,test failed,0,2,8
Gson-18,test failed,0,10,0
JacksonDatabind-71,test passed,1,8,1
Closure-166,test failed,0,4,6
Math-89,test failed,0,8,2
Chart-23,compile error,0,0,10
Math-78,test failed,0,10,0
Closure-129,test failed,0,10,0
Time-27,test failed,0,8,2
Time-14,test failed,0,10,0
Closure-124,test failed,0,8,2
Closure-87,test failed,0,10,0
Time-23,test failed,0,1,9
Closure-88,test failed,0,6,4
Math-42,test failed,0,10,0
Csv-2,test failed,0,9,1
Jsoup-54,test passed,6,4,0
Jsoup-5,test failed,0,8,2
Math-51,test failed,0,7,3
Math-53,test passed,1,9,0
Compress-11,test failed,0,4,6
Closure-101,test passed,2,5,3
Mockito-33,test failed,0,10,0
JacksonXml-5,test failed,0,1,9
Jsoup-51,test passed,1,9,0
Compress-25,test failed,0,1,9
Csv-15,test failed,0,9,1
Compress-45,test passed,3,4,3
Closure-128,test passed,2,8,0
Mockito-8,test passed,1,8,1
Chart-6,test failed,0,10,0
Compress-10,test failed,0,1,9
JacksonDatabind-100,test failed,0,8,2
Math-79,test passed,6,3,1
Jsoup-59,test failed,0,9,1
Closure-14,test failed,0,2,8
JacksonDatabind-6,test failed,0,9,1
JacksonCore-23,test failed,0,1,9
Mockito-34,test passed,2,7,1
Lang-28,test passed,1,9,0
Jsoup-6,test passed,3,5,2
Math-87,test failed,0,10,0
Math-34,test passed,6,1,3
Jsoup-53,test failed,0,9,1
Cli-12,test failed,0,10,0
JacksonDatabind-70,test passed,4,5,1
Codec-5,test passed,1,9,0
Closure-92,test passed,2,5,3
Closure-20,test failed,0,7,3
Math-105,test failed,0,10,0
Chart-26,test passed,1,7,2
Closure-38,test passed,1,9,0
Mockito-28,test failed,0,2,8
Jsoup-32,test failed,0,4,6
Time-18,test failed,0,8,2
Jsoup-34,test passed,1,9,0
Jsoup-64,test failed,0,5,5
Lang-52,test passed,2,8,0
Jsoup-46,test passed,1,8,1
Closure-44,test failed,0,8,2
Cli-28,test passed,1,9,0
Math-58,test passed,1,0,9
Cli-40,test passed,3,7,0
Closure-52,test failed,0,9,1
Lang-11,test passed,6,3,1
Mockito-29,test passed,2,6,2
JacksonDatabind-49,test failed,0,7,3
Math-56,test passed,2,7,1
Codec-9,test passed,3,3,4
Closure-121,test failed,0,6,4
JacksonDatabind-8,test failed,0,10,0
Jsoup-24,test passed,5,4,1
JacksonDatabind-34,test passed,3,3,4
Compress-38,test passed,1,9,0
Math-45,test failed,0,4,6
Time-17,test passed,3,7,0
Cli-27,test failed,0,7,3
Lang-43,test passed,8,2,0
Chart-10,test passed,1,7,2
JacksonXml-3,test failed,0,10,0
Compress-23,test passed,5,5,0
Compress-16,test failed,0,9,1
JacksonDatabind-101,test passed,5,5,0
Math-70,test passed,1,6,3
Lang-40,test failed,0,10,0
Closure-86,test passed,6,4,0
Codec-3,test passed,5,5,0
Math-20,test failed,0,2,8
Math-33,test failed,0,8,2
Closure-102,test passed,4,5,1
Jsoup-19,test failed,0,10,0
Closure-73,test passed,3,6,1
Jsoup-89,test passed,3,4,3
Math-24,test failed,0,1,9
Closure-21,compile error,0,0,10
JacksonDatabind-45,test failed,0,6,4
Jsoup-93,test failed,0,10,0
Closure-77,test passed,1,9,0
Closure-122,test failed,0,10,0
Closure-29,test failed,0,4,6
Compress-19,test passed,2,7,1
JacksonCore-7,test failed,0,9,1
JacksonCore-5,test passed,6,3,1
Closure-42,test failed,0,7,3
Lang-6,test failed,0,8,2
Mockito-12,test failed,0,10,0
Closure-71,test failed,0,9,1
JacksonDatabind-1,test passed,1,9,0
JxPath-12,test failed,0,10,0
JxPath-5,test failed,0,10,0
Closure-7,test passed,1,9,0
Lang-29,test failed,0,8,2
Compress-15,test passed,3,5,2
Lang-33,test passed,10,0,0
Compress-5,test failed,0,9,1
Compress-46,test passed,5,5,0
JacksonDatabind-44,test failed,0,7,3
JacksonDatabind-12,test passed,3,3,4
Jsoup-75,test failed,0,10,0
Csv-10,test failed,0,1,9
Lang-57,test failed,0,10,0
JacksonDatabind-46,test passed,1,7,2
Lang-51,test passed,2,8,0
Lang-24,test passed,1,9,0
Lang-58,test passed,2,8,0
JacksonCore-26,test failed,0,5,5
Mockito-7,test failed,0,7,3
Closure-62,test passed,3,7,0
Lang-26,test passed,1,9,0
Codec-15,test failed,0,10,0
Math-8,test failed,0,8,2
Math-60,test passed,3,5,2
Math-84,test passed,1,8,1
Math-43,test failed,0,7,3
JacksonDatabind-91,test failed,0,10,0
Chart-17,test failed,0,3,7
Math-63,test failed,0,10,0
Jsoup-85,test passed,2,8,0
Compress-27,test passed,4,6,0
Lang-14,test passed,5,4,1
Math-23,compile error,0,0,10
Gson-12,test failed,0,9,1
Closure-31,test passed,3,5,2
Math-59,test passed,3,7,0
Collections-26,test passed,3,5,2
Lang-1,test failed,0,9,1
Cli-38,test failed,0,8,2
Csv-3,test failed,0,10,0
JacksonDatabind-74,test failed,0,10,0
JacksonCore-15,test failed,0,9,1
Closure-126,test failed,0,7,3
Collections-27,compile error,0,0,10
Csv-4,test passed,2,5,3
Compress-18,test passed,2,8,0
Time-15,test failed,0,8,2
Closure-99,test failed,0,7,3
Gson-16,test passed,3,5,2
Jsoup-13,test failed,0,9,1
Compress-14,test passed,2,7,1
Math-94,test passed,3,5,2
Closure-58,test failed,0,8,2
Closure-114,test failed,0,9,1
Mockito-1,test passed,1,5,4
Math-27,test passed,1,4,5
Math-55,test failed,0,7,3
Jsoup-1,test failed,0,8,2
Closure-11,test passed,3,7,0
JacksonDatabind-47,test passed,3,3,4
Math-72,test passed,2,4,4
JacksonCore-6,test failed,0,10,0
Closure-96,test failed,0,10,0
Jsoup-45,test passed,8,2,0
JacksonDatabind-97,test failed,0,5,5
JacksonDatabind-62,test failed,0,10,0
Gson-5,test failed,0,10,0
Closure-117,test failed,0,1,9
Math-7,test failed,0,10,0
Closure-4,test failed,0,9,1
Math-31,compile error,0,0,10
Closure-36,test failed,0,10,0
Math-32,test passed,3,7,0
Closure-57,test passed,2,5,3
Closure-150,test failed,0,10,0
Math-57,test passed,4,4,2
Closure-95,test failed,0,7,3
Math-106,test failed,0,9,1
JacksonDatabind-83,test passed,3,7,0
Compress-41,test failed,0,9,1
Chart-13,test passed,5,5,0
Closure-24,test failed,0,10,0
JacksonDatabind-39,test failed,0,9,1
JacksonCore-3,test failed,0,9,1
Compress-13,test failed,0,9,1
Lang-39,test passed,4,6,0
Lang-3,test failed,0,8,2
Gson-13,test passed,1,8,1
Compress-40,test failed,0,7,3
Jsoup-77,test passed,2,0,8
Jsoup-26,test passed,1,4,5
JxPath-8,test failed,0,3,7
Closure-78,test failed,0,9,1
Jsoup-37,test failed,0,9,1
Closure-152,test passed,1,4,5
Closure-172,test failed,0,8,2
JacksonDatabind-27,test failed,0,8,2
Cli-15,test failed,0,8,2
Cli-8,test passed,3,7,0
Closure-59,test passed,1,5,4
Compress-31,test passed,1,9,0
Lang-12,test failed,0,9,1
Closure-146,test failed,0,4,6
Closure-130,test failed,0,10,0
JacksonDatabind-58,test failed,0,7,3
Closure-131,test passed,1,6,3
Math-40,test failed,0,10,0
Compress-17,test failed,0,9,1
Csv-14,test failed,0,10,0
JacksonDatabind-112,test failed,0,4,6
Compress-44,test passed,3,6,1
Time-8,test failed,0,10,0
Compress-26,test passed,1,9,0
Jsoup-70,test passed,2,8,0
Math-3,test passed,3,6,1
Math-88,test failed,0,10,0
JacksonDatabind-85,test failed,0,2,8
Math-30,test passed,5,4,1
Math-26,test failed,0,10,0
Closure-111,test failed,0,2,8
Closure-65,test passed,1,9,0
JacksonDatabind-99,test passed,4,5,1
Closure-91,test failed,0,10,0
Closure-12,test failed,0,6,4
Math-2,test failed,0,10,0
Closure-23,test failed,0,10,0
Closure-113,test failed,0,9,1
Lang-42,test failed,0,4,6
Cli-32,test passed,1,5,4
Cli-2,test failed,0,7,3
Cli-24,test failed,0,8,2
Compress-8,test failed,0,7,3
Cli-20,test failed,0,4,6
Cli-29,test failed,0,7,3
Compress-24,test passed,1,6,3
JxPath-6,test passed,1,8,1
JxPath-22,test failed,0,7,3
Math-96,test failed,0,3,7
Mockito-13,test failed,0,2,8
JxPath-14,test failed,0,10,0
Chart-24,test passed,1,0,9
Lang-19,compile error,0,0,10
Cli-19,test failed,0,6,4
Jsoup-84,test failed,0,3,7
JxPath-10,test passed,1,3,6
JacksonDatabind-57,test passed,2,2,6
Closure-112,test failed,0,2,8
Math-19,test failed,0,2,8
Cli-23,test passed,1,6,3
