bug_id,final_outcome,tp_cnt,tf_cnt,cf_cnt
Lang-5,compile error,0,0,10
Compress-12,test failed,0,2,8
JacksonCore-21,test failed,0,2,8
Jsoup-40,test passed,1,8,1
Cli-26,test failed,0,3,7
Codec-17,test passed,1,5,4
Chart-8,test passed,2,2,6
Chart-11,test passed,4,2,4
Compress-35,test failed,0,8,2
Lang-31,test failed,0,9,1
Codec-7,test passed,3,4,3
Time-7,test passed,2,5,3
Time-24,test failed,0,7,3
Gson-2,test failed,0,6,4
JacksonXml-1,compile error,0,0,10
Chart-20,test passed,1,5,4
Math-82,test passed,2,8,0
Lang-48,test failed,0,10,0
Chart-5,test failed,0,4,6
Gson-11,test passed,3,3,4
Lang-45,test passed,4,6,0
Gson-15,test failed,0,10,0
Csv-11,test passed,3,6,1
Jsoup-2,test failed,0,9,1
Math-74,test failed,0,9,1
Jsoup-88,test passed,3,4,3
Jsoup-86,test passed,1,7,2
Codec-2,test failed,0,9,1
Math-69,test passed,1,9,0
Compress-21,test passed,3,7,0
JacksonDatabind-82,test failed,0,4,6
Jsoup-39,test passed,3,7,0
Jsoup-90,test passed,6,4,0
Closure-10,test passed,2,2,6
Math-52,test failed,0,5,5
Compress-1,test failed,0,5,5
JacksonDatabind-76,test passed,1,1,8
JacksonDatabind-17,test passed,2,7,1
Closure-105,test failed,0,7,3
Time-5,test failed,0,10,0
Jsoup-50,compile error,0,0,10
Lang-44,test failed,0,8,2
Chart-9,test passed,5,4,1
JacksonCore-25,test passed,4,6,0
Jsoup-55,test passed,2,5,3
Jsoup-43,test passed,1,7,2
Closure-97,test failed,0,10,0
Mockito-5,test passed,1,1,8
Lang-21,test passed,3,6,1
Closure-116,test failed,0,7,3
Lang-59,test passed,3,6,1
Closure-18,test passed,1,8,1
JacksonCore-4,test failed,0,10,0
Closure-22,test failed,0,4,6
Mockito-22,test failed,0,10,0
Jsoup-80,test passed,3,6,1
Time-4,test passed,2,0,8
Lang-65,test failed,0,1,9
Math-85,test passed,8,2,0
JacksonDatabind-98,test failed,0,7,3
JacksonCore-20,test failed,0,7,3
Lang-17,test passed,1,9,0
Lang-10,test passed,1,8,1
Closure-81,test failed,0,8,2
Lang-55,test failed,0,9,1
Lang-49,test failed,0,10,0
Chart-4,test passed,5,1,4
Closure-118,test failed,0,4,6
Closure-5,test failed,0,10,0
Codec-18,test passed,2,6,2
Mockito-18,test failed,0,8,2
Cli-35,test failed,0,9,1
Jsoup-49,test passed,1,7,2
Math-48,test failed,0,7,3
Closure-25,test failed,0,8,2
Closure-40,test failed,0,5,5
JacksonDatabind-24,test passed,1,6,3
Closure-61,test failed,0,9,1
Closure-145,test failed,0,9,1
Closure-53,test failed,0,7,3
Cli-25,test passed,1,9,0
Math-103,test failed,0,9,1
Math-80,test passed,2,7,1
Lang-37,test failed,0,10,0
Closure-133,test failed,0,9,1
Chart-12,test passed,2,3,5
Mockito-20,test failed,0,9,1
Codec-4,test failed,0,1,9
Math-13,test failed,0,6,4
Lang-16,test failed,0,8,2
Closure-161,test failed,0,10,0
Time-22,test failed,0,1,9
Jsoup-82,test failed,0,6,4
Math-17,test failed,0,3,7
Math-41,test passed,3,6,1
JacksonDatabind-93,test passed,2,8,0
JacksonDatabind-19,test failed,0,10,0
JacksonDatabind-28,test failed,0,5,5
Closure-56,test failed,0,8,2
JacksonCore-11,test failed,0,7,3
Time-19,test passed,2,8,0
Math-95,test passed,4,6,0
Closure-125,test passed,2,3,5
JacksonDatabind-16,test passed,4,5,1
Gson-10,test passed,2,3,5
Math-91,test passed,1,6,3
Math-73,test failed,0,10,0
Closure-176,test failed,0,10,0
Cli-11,test passed,1,8,1
Closure-50,test failed,0,6,4
Math-21,compile error,0,0,10
Closure-2,compile error,0,0,10
JacksonDatabind-42,test failed,0,3,7
Jsoup-10,test failed,0,9,1
